brand_name,property_id,period,conversions,userConversionRate,sessionConversionRate
Anthony,373485153,Feb2023,,,
Anthony,373485153,Feb2024,1255,0.028717100730329338,0.014938581150839637
Anthony,373485153,Feb2025,15662,0.11174671853223223,0.093205867105784768
"Anytime Plumbing, Heating & Cooling",297219515,Feb2023,,,
"Anytime Plumbing, Heating & Cooling",297219515,Feb2024,220,0.034266017842660181,0.021217712177121772
"Anytime Plumbing, Heating & Cooling",297219515,Feb2025,187,0.01770156271608353,0.011229022704837117
Apollo Home,361108781,Feb2023,,,
Apollo Home,361108781,Feb2024,1308,0.037902476126088061,0.015024304021210782
Apollo Home,361108781,Feb2025,10248,0.1117266398666536,0.1046429019181746
Arctic Air Conditioning,353108280,Feb2023,91,0.024504867405169519,0.02271386430678466
Arctic Air Conditioning,353108280,Feb2024,1705,0.036711590296495955,0.0398356466402766
Arctic Air Conditioning,353108280,Feb2025,7041,0.0640914646567529,0.057430730478589417
Aztec Plumbing,261931913,Feb2023,,,
Aztec Plumbing,261931913,Feb2024,,,
Aztec Plumbing,261931913,Feb2025,2543,0.047352243103381195,0.046253369272237194
Bell Brothers,361706527,Feb2023,,,
Bell Brothers,361706527,Feb2024,322,0.05423280423280423,0.030816054784097394
Bell Brothers,361706527,Feb2025,297,0.072887323943661972,0.04921630094043887
Black Hills Inc,383262078,Feb2023,,,
Black Hills Inc,383262078,Feb2024,465,0.023167465902721555,0.014001665625650635
Black Hills Inc,383262078,Feb2025,586,0.019640971488912355,0.015401427449373357
Campbell and Company,319229254,Feb2023,278,0.024316871396339933,0.020588840848260244
Campbell and Company,319229254,Feb2024,1121,0.10335349092908191,0.096906012842965558
Campbell and Company,319229254,Feb2025,3161,0.086076632487857532,0.088865014196915046
Cassell Brothers,361657600,Feb2023,,,
Cassell Brothers,361657600,Feb2024,250,0.0063530095113628112,0.0049957353478737665
Cassell Brothers,361657600,Feb2025,215,0.034503271861986914,0.031382228490832158
Charles Stone Mechanical,403757637,Feb2023,,,
Charles Stone Mechanical,403757637,Feb2024,,,
Charles Stone Mechanical,403757637,Feb2025,136,0.11135371179039301,0.085176085176085173
Dauenhauer Plumbing,358767034,Feb2023,,,
Dauenhauer Plumbing,358767034,Feb2024,159,0.011493389423076924,0.00962245648443246
Dauenhauer Plumbing,358767034,Feb2025,10269,0.22944830105955424,0.21201036427373876
Fayette Heating & Air,362082264,Feb2023,,,
Fayette Heating & Air,362082264,Feb2024,56,0.0069301848049281318,0.00554357868801971
Fayette Heating & Air,362082264,Feb2025,654,0.075817568558439657,0.065076452599388379
GAC Services,309938017,Feb2023,,,
GAC Services,309938017,Feb2024,628,0.01256359967027657,0.005955564198551218
GAC Services,309938017,Feb2025,813,0.029308996088657106,0.021521521521521522
Hunter Super Techs,373521093,Feb2023,,,
Hunter Super Techs,373521093,Feb2024,612,0.077855245683930943,0.019639934533551555
Hunter Super Techs,373521093,Feb2025,670,0.11668165467625899,0.032852386237513874
LimRic,361717928,Feb2023,,,
LimRic,361717928,Feb2024,455,0.062208067940552017,0.0535453216374269
LimRic,361717928,Feb2025,456,0.059089441394898287,0.0509502628386575
Reliable Power Systems,361692839,Feb2023,,,
Reliable Power Systems,361692839,Feb2024,197,0.011968880909634948,0.0074233458848843468
Reliable Power Systems,361692839,Feb2025,590,0.025629342749743707,0.015949044585987261
Roth Home,325174168,Feb2023,17,0.0029585798816568047,0.0025051576775714708
Roth Home,325174168,Feb2024,1669,0.051854349291975722,0.023542989036353146
Roth Home,325174168,Feb2025,7848,0.2216415893323723,0.18551756150394555
"Schaal Plumbing, Heating & Cooling",361659621,Feb2023,,,
"Schaal Plumbing, Heating & Cooling",361659621,Feb2024,652,0.0413734633319203,0.01675535739968359
"Schaal Plumbing, Heating & Cooling",361659621,Feb2025,2821,0.16255184673118706,0.14188440221694379
Sunny Service,361722376,Feb2023,,,
Sunny Service,361722376,Feb2024,69,0.011121076233183856,0.00877742946708464
Sunny Service,361722376,Feb2025,125,0.024304538799414348,0.019317279703625297
Webb HVAC,361711756,Feb2023,,,
Webb HVAC,361711756,Feb2024,10,0.0038610038610038611,0.0032175032175032173
Webb HVAC,361711756,Feb2025,924,0.21393034825870647,0.23682750970604549
