brand_name,property_id,period,totalUsers,newUsers,sessions,screenPageViews,engagementRate,averageSessionDuration,engagedSessions,eventCount,screenPageViewsPerSession
Anthony,373485153,Feb2023,,,,,,,,,
Anthony,373485153,Feb2024,37409,34245,47461,57676,0.27744885274225151,258.4783743609911,13168,180769,1.2152293462000379
Anthony,373485153,Feb2025,49472,43780,65586,80906,0.2836276034519562,191.24616579138842,18602,279965,1.2335864361296618
"Anytime Plumbing, Heating & Cooling",297219515,Feb2023,4499,4439,5524,5992,0.49330195510499636,170.12135241582186,2725,25096,1.0847212165097755
"Anytime Plumbing, Heating & Cooling",297219515,Feb2024,4946,4821,5420,6466,0.22638376383763836,217.88951644760147,1227,23931,1.1929889298892988
"Anytime Plumbing, Heating & Cooling",297219515,Feb2025,7235,7093,8104,18220,0.87919545903257645,150.10934250160415,7125,37892,2.2482724580454096
Apollo Home,361108781,Feb2023,,,,,,,,,
Apollo Home,361108781,Feb2024,24026,22681,27156,31984,0.38304610399175137,236.3833683664752,10402,102716,1.1777875975843275
Apollo Home,361108781,Feb2025,20824,19758,23929,29931,0.39007062560073552,205.59156811137112,9334,126801,1.2508253583517908
Arctic Air Conditioning,353108280,Feb2023,2981,2943,3390,5254,0.48554572271386431,102.76352066902655,1646,20900,1.5498525073746312
Arctic Air Conditioning,353108280,Feb2024,18710,18370,19957,26735,0.33692438743298092,107.98304518795409,6724,85643,1.3396302049406223
Arctic Air Conditioning,353108280,Feb2025,40199,38384,47640,56258,0.25896305625524768,107.48138829620069,12337,168261,1.1808984047019311
Aztec Plumbing,261931913,Feb2023,21883,21538,26294,33550,0.521373697421465,123.70843484726554,13709,101307,1.2759564919753557
Aztec Plumbing,261931913,Feb2024,11791,11605,13569,16384,0.45029110472400324,105.07524296934189,6110,52794,1.2074581767263615
Aztec Plumbing,261931913,Feb2025,25838,25308,27825,34253,0.3434681042228212,174.42043805681939,9557,105352,1.231015274034142
Bell Brothers,361706527,Feb2023,,,,,,,,,
